cluster_id,cluster_probability,title,group,voted_up,playtime_at_review_hours,analysis_text
0,1.0,In Stars And Time,core,True,30.383333333333333,"Estuve a literalmente una pizca de ponerle una mala calificaccion no porque crea que el juego es malo sino porque creo que tiene muchos puntos negativos que sopesan los buenos, Este juego pierde demasiado por ser hecho en rpg maker y dejen me explico el problema es que rpg maker es demasiado rigido este juego hubiera ganado muchisimo si no fueran bloques y bloques de texto sino que fueran minijuegos a lo largo de la aventura, desafios, puzles, mas cosas de verdad se hubiera convertido de un juego normal a una obra de arte En los puntos negativos que le encuentro es, la musica no porque sea mala sino porque tiene muy poca resulta que el juego tiene 41 canciones pero si les soy sincero solo me acuerdo de las 3 que se repiten en bucle durante las 20 horas de juego, el game desing no porque sea malo sino porque es muy insipido Y LOS DIALOGOS demasiados dialogos demasiado texto de verdad las primeras 2 horas del juego son literalmente puro texto dialogo, dialogo, dialogo, dialogo De verdad estuve a nada de darle pulgar abajo porque este juego casi casi hubiera funcionado mejor como un libro ya que es un juego linea donde tus desiciones no importan no cambia nada no hay final diferente nada de nada y miren yo entiendo que toda la mecanica de los bucles es para ponernos en los zapatos de zilfrin y esta bien pero dios este juego hubiera ganado muchisimo mas siendo mas corto y con un motor que permitiera meter mas cosas pero entonces llegue al acto final y que les puedo decir soy un romantico ese final me mato ese final me encanto solo ese final me hizo sentir que todo valio la pena supe que era el final porque despues de 300 horas se dignaron a poner una cancion nueva me encanto una experiencia unica que nunca mas pienso volver a jugar porque dios no permita pasar por este calvario de nuevo argumentalmente un 10 a forma de gameplay un 4"
0,1.0,In Stars And Time,core,True,53.983333333333334,jogo filho da puta me fazendo chorar que nem otario
0,1.0,In Stars And Time,core,True,19.5,"Puta merda esse jogo é bom, compre, vale a pena"
0,1.0,Small Saga,core,True,11.45,la mierda menos rejugable que existe
0,1.0,Small Saga,core,True,26.783333333333335,Uma aventura curta e divertida ♥
0,1.0,Ikenfell,core,True,4.516666666666667,Un muy buen juego - acuérdense de usar las opciones de accesibilidad si se les hace muy difícil.
0,1.0,Long Gone Days,core,False,6.833333333333333,"la historia esta decente pero el combate es horrible, vean un gameplay en YT y ahorrense la plata"
0,1.0,Long Gone Days,core,True,6.166666666666667,"Très bon jeu. Les graphismes sont géniaux, tout comme l'histoire. Etant donné que je ne suis pas très au courant de la suite, je me demandais si la version finale sera gratuite pour les joueurs ayant acheté la vesion en accès anticipé ?"
1,1.0,Small Saga,core,True,7.083333333333333,"Fair warning: achievements are listed, but not implemented in the game. If you care about those, be warned. That being said, I truly think you should play this game. It has a well written story, supported by the gameplay in clever ways. I never struggled, Small Saga is not a hard game, but it doesn't need to be. Cool story, cool mechanics, what else can I say?"
1,1.0,Small Saga,core,True,7.133333333333334,"Small Saga is a game I'm quite torn on. While there are many aspects of the experience I absolutely adore, there is a large element to this game which I feel drags the experience down, making it not an immediate recommend I know it should be. To get to the best part of the game over with: presentation. The visuals are absolutely breathtaking and I found myself entranced playing through this game. Every character had personality oozing from their design alone and each boss you encounter feels lovingly thought of. [spoiler]I really felt this way about the Yellow and White Gods you see in the game. There is a sense of scale each of them have which does make you feel how daunting these 'Gods' are to our characters.[/spoiler] The visuals, alone, are not solely what carries this game. The music brought me into the world. Where many games I find enjoyable, but something I'm not going to think back on, Small Saga's soundtrack heightens the overall experience. The emotions are brought to another level when you play through, aiding to the story in more ways than you realize. From the lows to the highs, and the bosses through, the soundtrack assists in making a memorable presentation in the time you put in. The story is nothing amazing, but it's quite serviceable enough. The writing, overall, is enough to get you through. Yet I did find myself wanting more in. I would have loved more quests which allow you to learn more about the characters in the game. More people to interact with. I just found myself wanting more. The lore you do find in the books just feels a little clunky to me, making me just wish there was another manner to explore this world I'm shown. That said, the writing was enough to make me want to see more of this game. Now, the gameplay, which is where my experience takes a dip. It feels like the game focused on every other issue, yet the gameplay and everything surrounding it took a step back. Lacking is a word that immediately comes to mind, but even that might not properly do it justice. Despite the presentation and writing which all kept me coming in, the mechanics in the game was pushing me away. The game felt like it needed a vehicle to have their game, and made a passable RPG experience in order to do so. What is here was clearly given enough time to make it not completely arbitrary, yet not delved too deep into and allowing for a more fleshed out playthrough. For $20, this game is on the edge for me. Everything truly is incredible for this game, yet the game mechanics bring it down quite a bit for me. It takes what could easily have been a homerun and makes me more on the fence. Yet, if the game goes on sale at all, I would highly recommend picking this game up. Despite my feelings on the gameplay, Small Saga clearly had passion put behind it when it comes to presentation. And I think, if you can get past the mostly average mechanics, you do have a beautiful game awaiting you on the otherside."
